16:17:29.513 [main] INFO  com.tetris.Application - Start tetris application []
16:17:32.526 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=postgres, password=maximum ride, release_mode=auto}
16:17:32.526 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
16:17:32.533 [main] DEBUG o.h.e.j.c.i.DriverManagerConnectionProviderImpl - Initializing Connection pool with 1 Connections
16:17:32.533 [main] INFO  o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 100 (min=1)
16:17:32.870 [main] DEBUG o.h.e.j.e.i.JdbcEnvironmentInitiator - Database ->
       name : PostgreSQL
    version : 12.1
      major : 12
      minor : 1
16:17:32.871 [main] DEBUG o.h.e.j.e.i.JdbcEnvironmentInitiator - Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.2.9
      major : 42
      minor : 2
16:17:32.871 [main] DEBUG o.h.e.j.e.i.JdbcEnvironmentInitiator - JDBC version : 4.2
16:17:32.910 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL94Dialect
16:17:32.957 [main] DEBUG o.h.e.j.e.s.IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
16:17:33.535 [main] DEBUG o.h.boot.model.relational.Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
16:17:33.538 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@17aad511
16:17:33.538 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@17aad511
16:17:33.539 [main] DEBUG org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@5745ca0e
16:17:33.541 [main] DEBUG o.h.type.spi.TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@32f232a5] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@43f82e78]
16:17:33.613 [main] DEBUG o.h.a.c.u.StandardClassLoaderDelegateImpl - Unable to locate Class [com.tetris.db.repositories.impl.package-info] using TCCL, falling back to HCANN ClassLoader
16:17:33.613 [main] DEBUG org.hibernate.cfg.AnnotationBinder - HHH000194: Package not found or wo package-info.java: com.tetris.db.repositories.impl
16:17:33.618 [main] DEBUG org.hibernate.cfg.AnnotationBinder - Binding entity from annotated class: com.tetris.db.repositories.hibernateTable.FigureTypeTable
16:17:33.647 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
16:17:33.658 [main] DEBUG o.h.cfg.annotations.EntityBinder - Import with entity name FigureTypeTable
16:17:33.663 [main] DEBUG o.h.cfg.annotations.EntityBinder - Bind entity com.tetris.db.repositories.hibernateTable.FigureTypeTable on table figure_type
16:17:33.724 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=figure_type_id, insertable=true, updatable=true, unique=false}
16:17:33.729 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property figureTypeId with lazy=false
16:17:33.732 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.tetris.db.repositories.hibernateTable.FigureTypeTable:figureTypeId]
